Serial Number,Date and Time,State,Description,Project
16A0065855,04/20/2024 01:27,Pass,BCP21,ICT1
16A0065856,04/20/2024 01:28,Fail,BCP21,ICT1
16A0065857,04/20/2024 01:29,Fail,BCP21,ICT4
16A0065858,04/20/2024 01:30,Fail,BCP21,ICT4
16A0065859,04/20/2024 01:30,Fail,BCP21,ICT1
16A0065860,04/20/2024 01:31,Pass,BCP21,ICT2
16A0065861,04/20/2024 01:32,Pass,BCP21,ICT1
16A0065862,04/20/2024 01:33,Pass,BCP21,ICT2
16A0065863,04/20/2024 01:34,Pass,BCP21,ICT4
16A0065864,04/20/2024 01:35,Fail,BCP21,ICT2
16A0065865,04/20/2024 01:35,Pass,BCP21,ICT3
16A0065866,04/20/2024 01:36,Pass,BCP21,ICT2
16A0065867,04/20/2024 01:37,Pass,BCP21,ICT2
16A0065868,04/20/2024 01:38,Pass,BCP21,ICT4
16A0065869,04/20/2024 01:39,Pass,BCP21,ICT3
16A0065870,04/20/2024 01:40,Pass,BCP21,ICT2
16A0065871,04/20/2024 01:40,Pass,BCP21,ICT1
16A0065872,04/20/2024 01:41,Pass,BCP21,ICT1
16A0065873,04/20/2024 01:42,Pass,BCP21,ICT3
16A0065874,04/20/2024 01:43,Pass,BCP21,ICT2
16A0065875,04/20/2024 01:44,Fail,BCP21,ICT4
16A0065876,04/20/2024 01:45,Pass,BCP21,ICT3
16A0065877,04/20/2024 01:45,Fail,BCP21,ICT3
16A0065878,04/20/2024 01:46,Fail,BCP21,ICT3
16A0065879,04/20/2024 01:47,Pass,BCP21,ICT1
16A0065880,04/20/2024 01:48,Pass,BCP21,ICT3
16A0065881,04/20/2024 01:49,Fail,BCP21,ICT3
16A0065882,04/20/2024 01:50,Pass,BCP21,ICT3
16A0065883,04/20/2024 01:50,Pass,BCP21,ICT2
16A0065884,04/20/2024 01:51,Pass,BCP21,ICT2
16A0065885,04/20/2024 01:52,Fail,BCP21,ICT3
16A0065886,04/20/2024 01:53,Pass,BCP21,ICT4
16A0065887,04/20/2024 01:54,Fail,BCP21,ICT3
16A0065888,04/20/2024 01:55,Fail,BCP21,ICT2
16A0065889,04/20/2024 01:55,Pass,BCP21,ICT3
16A0065890,04/20/2024 01:56,Pass,BCP21,ICT1
16A0065891,04/20/2024 01:57,Fail,BCP21,ICT4
16A0065892,04/20/2024 01:58,Pass,BCP21,ICT2
16A0065893,04/20/2024 01:59,Fail,BCP21,ICT2
16A0065894,04/20/2024 02:00,Pass,BCP21,ICT4
16A0065895,04/20/2024 02:00,Fail,BCP21,ICT4
16A0065896,04/20/2024 02:01,Fail,BCP21,ICT1
16A0065897,04/20/2024 02:02,Fail,BCP21,ICT1
16A0065898,04/20/2024 02:03,Pass,BCP21,ICT2
16A0065899,04/20/2024 02:04,Pass,BCP21,ICT4
16A0065900,04/20/2024 02:05,Pass,BCP21,ICT4
16A0065901,04/20/2024 02:05,Pass,BCP21,ICT2
16A0065902,04/20/2024 02:06,Fail,BCP21,ICT2
16A0065903,04/20/2024 02:07,Fail,BCP21,ICT3
16A0065904,04/20/2024 02:08,Pass,BCP21,ICT2
16A0065905,04/20/2024 02:09,Fail,BCP21,ICT4
16A0065906,04/20/2024 02:10,Fail,BCP21,ICT1
16A0065907,04/20/2024 02:10,Fail,BCP21,ICT4
16A0065908,04/20/2024 02:11,Pass,BCP21,ICT3
16A0065909,04/20/2024 02:12,Fail,BCP21,ICT4
16A0065910,04/20/2024 02:13,Fail,BCP21,ICT2
16A0065911,04/20/2024 02:14,Fail,BCP21,ICT3
16A0065912,04/20/2024 02:15,Pass,BCP21,ICT2
16A0065913,04/20/2024 02:15,Pass,BCP21,ICT4
16A0065914,04/20/2024 02:16,Fail,BCP21,ICT2
16A0065915,04/20/2024 02:17,Fail,BCP21,ICT2
16A0065916,04/20/2024 02:18,Fail,BCP21,ICT2
16A0065917,04/20/2024 02:19,Fail,BCP21,ICT3
16A0065918,04/20/2024 02:20,Pass,BCP21,ICT4
16A0065919,04/20/2024 02:20,Fail,BCP21,ICT1
16A0065920,04/20/2024 02:21,Pass,BCP21,ICT2
16A0065921,04/20/2024 02:22,Fail,BCP21,ICT1
16A0065922,04/20/2024 02:23,Fail,BCP21,ICT4
16A0065923,04/20/2024 02:24,Fail,BCP21,ICT1
16A0065924,04/20/2024 02:25,Fail,BCP21,ICT3
16A0065925,04/20/2024 02:25,Pass,BCP21,ICT2
16A0065926,04/20/2024 02:26,Pass,BCP21,ICT2
16A0065927,04/20/2024 02:27,Pass,BCP21,ICT3
16A0065928,04/20/2024 02:28,Pass,BCP21,ICT3
16A0065929,04/20/2024 02:29,Fail,BCP21,ICT1
16A0065930,04/20/2024 02:30,Fail,BCP21,ICT4
16A0065931,04/20/2024 02:30,Fail,BCP21,ICT3
16A0065932,04/20/2024 02:31,Fail,BCP21,ICT2
16A0065933,04/20/2024 02:32,Pass,BCP21,ICT4
16A0065934,04/20/2024 02:33,Pass,BCP21,ICT1
16A0065935,04/20/2024 02:34,Fail,BCP21,ICT3
16A0065936,04/20/2024 02:35,Fail,BCP21,ICT4
16A0065937,04/20/2024 02:35,Fail,BCP21,ICT4
16A0065938,04/20/2024 02:36,Fail,BCP21,ICT2
16A0065939,04/20/2024 02:37,Pass,BCP21,ICT4
16A0065940,04/20/2024 02:38,Fail,BCP21,ICT4
16A0065941,04/20/2024 02:39,Pass,BCP21,ICT3
16A0065942,04/20/2024 02:40,Pass,BCP21,ICT3
16A0065943,04/20/2024 02:40,Fail,BCP21,ICT1
16A0065944,04/20/2024 02:41,Fail,BCP21,ICT4
16A0065945,04/20/2024 02:42,Fail,BCP21,ICT3
16A0065946,04/20/2024 02:43,Fail,BCP21,ICT3
16A0065947,04/20/2024 02:44,Pass,BCP21,ICT4
16A0065948,04/20/2024 02:45,Fail,BCP21,ICT1
16A0065949,04/20/2024 02:45,Fail,BCP21,ICT4
16A0065950,04/20/2024 02:46,Pass,BCP21,ICT1
16A0065951,04/20/2024 02:47,Pass,BCP21,ICT2
16A0065952,04/20/2024 02:48,Pass,BCP21,ICT3
16A0065953,04/20/2024 02:49,Fail,BCP21,ICT3
16A0065954,04/20/2024 02:50,Pass,BCP21,ICT2
16A0065955,04/20/2024 02:50,Fail,BCP21,ICT2
16A0065956,04/20/2024 02:51,Pass,BCP21,ICT2
16A0065957,04/20/2024 02:52,Fail,BCP21,ICT4
16A0065958,04/20/2024 02:53,Fail,BCP21,ICT3
16A0065959,04/20/2024 02:54,Pass,BCP21,ICT1
16A0065960,04/20/2024 02:55,Fail,BCP21,ICT4
16A0065961,04/20/2024 02:55,Pass,BCP21,ICT3
16A0065962,04/20/2024 02:56,Pass,BCP21,ICT3
16A0065963,04/20/2024 02:57,Pass,BCP21,ICT3
16A0065964,04/20/2024 02:58,Fail,BCP21,ICT2
16A0065965,04/20/2024 02:59,Pass,BCP21,ICT3
16A0065966,04/20/2024 03:00,Pass,BCP21,ICT2
16A0065967,04/20/2024 03:00,Fail,BCP21,ICT3
16A0065968,04/20/2024 03:01,Fail,BCP21,ICT1
16A0065969,04/20/2024 03:02,Fail,BCP21,ICT1
16A0065970,04/20/2024 03:03,Pass,BCP21,ICT1
16A0065971,04/20/2024 03:04,Pass,BCP21,ICT3
16A0065972,04/20/2024 03:05,Fail,BCP21,ICT2
16A0065973,04/20/2024 03:05,Fail,BCP21,ICT2
16A0065974,04/20/2024 03:06,Pass,BCP21,ICT3
16A0065975,04/20/2024 03:07,Fail,BCP21,ICT2
16A0065976,04/20/2024 03:08,Pass,BCP21,ICT4
16A0065977,04/20/2024 03:09,Fail,BCP21,ICT2
16A0065978,04/20/2024 03:10,Fail,BCP21,ICT3
16A0065979,04/20/2024 03:10,Pass,BCP21,ICT3
16A0065980,04/20/2024 03:11,Pass,BCP21,ICT1
16A0065981,04/20/2024 03:12,Pass,BCP21,ICT2
16A0065982,04/20/2024 03:13,Fail,BCP21,ICT4
16A0065983,04/20/2024 03:14,Pass,BCP21,ICT2
16A0065984,04/20/2024 03:15,Pass,BCP21,ICT2
16A0065985,04/20/2024 03:15,Pass,BCP21,ICT3
16A0065986,04/20/2024 03:16,Pass,BCP21,ICT2
16A0065987,04/20/2024 03:17,Fail,BCP21,ICT4
16A0065988,04/20/2024 03:18,Pass,BCP21,ICT1
16A0065989,04/20/2024 03:19,Pass,BCP21,ICT4
16A0065990,04/20/2024 03:20,Pass,BCP21,ICT4
16A0065991,04/20/2024 03:20,Fail,BCP21,ICT3
16A0065992,04/20/2024 03:21,Pass,BCP21,ICT2
16A0065993,04/20/2024 03:22,Fail,BCP21,ICT3
16A0065994,04/20/2024 03:23,Fail,BCP21,ICT2
16A0065995,04/20/2024 03:24,Fail,BCP21,ICT4
16A0065996,04/20/2024 03:25,Pass,BCP21,ICT3
16A0065997,04/20/2024 03:25,Pass,BCP21,ICT2
16A0065998,04/20/2024 03:26,Pass,BCP21,ICT2
16A0065999,04/20/2024 03:27,Fail,BCP21,ICT2
16A0066000,04/20/2024 03:28,Pass,BCP21,ICT3
16A0066001,04/20/2024 03:29,Pass,BCP21,ICT2
16A0066002,04/20/2024 03:30,Fail,BCP21,ICT4
16A0066003,04/20/2024 03:30,Pass,BCP21,ICT2
16A0066004,04/20/2024 03:31,Fail,BCP21,ICT4
16A0066005,04/20/2024 03:32,Fail,BCP21,ICT3
16A0066006,04/20/2024 03:33,Fail,BCP21,ICT4
16A0066007,04/20/2024 03:34,Fail,BCP21,ICT3
16A0066008,04/20/2024 03:35,Pass,BCP21,ICT2
16A0066009,04/20/2024 03:35,Pass,BCP21,ICT3
16A0066010,04/20/2024 03:36,Pass,BCP21,ICT4
16A0066011,04/20/2024 03:37,Fail,BCP21,ICT3
16A0066012,04/20/2024 03:38,Fail,BCP21,ICT3
16A0066013,04/20/2024 03:39,Fail,BCP21,ICT1
16A0066014,04/20/2024 03:40,Fail,BCP21,ICT4
16A0066015,04/20/2024 03:40,Pass,BCP21,ICT2
16A0066016,04/20/2024 03:41,Pass,BCP21,ICT2
16A0066017,04/20/2024 03:42,Pass,BCP21,ICT2
16A0066018,04/20/2024 03:43,Pass,BCP21,ICT1
16A0066019,04/20/2024 03:44,Pass,BCP21,ICT1
16A0066020,04/20/2024 03:45,Pass,BCP21,ICT1
16A0066021,04/20/2024 03:45,Fail,BCP21,ICT1
16A0066022,04/20/2024 03:46,Fail,BCP21,ICT2
16A0066023,04/20/2024 03:47,Pass,BCP21,ICT2
16A0066024,04/20/2024 03:48,Fail,BCP21,ICT1
16A0066025,04/20/2024 03:49,Pass,BCP21,ICT1
16A0066026,04/20/2024 03:50,Pass,BCP21,ICT1
16A0066027,04/20/2024 03:50,Fail,BCP21,ICT4
16A0066028,04/20/2024 03:51,Fail,BCP21,ICT2
16A0066029,04/20/2024 03:52,Fail,BCP21,ICT3
16A0066030,04/20/2024 03:53,Fail,BCP21,ICT4
16A0066031,04/20/2024 03:54,Fail,BCP21,ICT2
16A0066032,04/20/2024 03:55,Pass,BCP21,ICT2
16A0066033,04/20/2024 03:55,Pass,BCP21,ICT1
16A0066034,04/20/2024 03:56,Fail,BCP21,ICT2
16A0066035,04/20/2024 03:57,Fail,BCP21,ICT4
16A0066036,04/20/2024 03:58,Fail,BCP21,ICT2
16A0066037,04/20/2024 03:59,Pass,BCP21,ICT2
16A0066038,04/20/2024 04:00,Pass,BCP21,ICT2
16A0066039,04/20/2024 04:00,Pass,BCP21,ICT2
16A0066040,04/20/2024 04:01,Pass,BCP21,ICT1
16A0066041,04/20/2024 04:02,Pass,BCP21,ICT2
16A0066042,04/20/2024 04:03,Pass,BCP21,ICT1
16A0066043,04/20/2024 04:04,Pass,BCP21,ICT3
16A0066044,04/20/2024 04:05,Fail,BCP21,ICT3
16A0066045,04/20/2024 04:05,Fail,BCP21,ICT4
16A0066046,04/20/2024 04:06,Pass,BCP21,ICT3
16A0066047,04/20/2024 04:07,Fail,BCP21,ICT4
16A0066048,04/20/2024 04:08,Fail,BCP21,ICT2
16A0066049,04/20/2024 04:09,Fail,BCP21,ICT3
16A0066050,04/20/2024 04:10,Pass,BCP21,ICT2
16A0066051,04/20/2024 04:10,Pass,BCP21,ICT1
16A0066052,04/20/2024 04:11,Pass,BCP21,ICT4
16A0066053,04/20/2024 04:12,Fail,BCP21,ICT2
16A0066054,04/20/2024 04:13,Pass,BCP21,ICT2
16A0066055,04/20/2024 04:14,Pass,BCP21,ICT2
16A0066056,04/20/2024 04:15,Fail,BCP21,ICT4
16A0066057,04/20/2024 04:15,Fail,BCP21,ICT2
16A0066058,04/20/2024 04:16,Pass,BCP21,ICT1
16A0066059,04/20/2024 04:17,Pass,BCP21,ICT1
16A0066060,04/20/2024 04:18,Pass,BCP21,ICT1
16A0066061,04/20/2024 04:19,Pass,BCP21,ICT4
16A0066062,04/20/2024 04:20,Pass,BCP21,ICT3
16A0066063,04/20/2024 04:20,Fail,BCP21,ICT2
16A0066064,04/20/2024 04:21,Pass,BCP21,ICT3
16A0066065,04/20/2024 04:22,Pass,BCP21,ICT1
16A0066066,04/20/2024 04:23,Pass,BCP21,ICT4
16A0066067,04/20/2024 04:24,Pass,BCP21,ICT4
16A0066068,04/20/2024 04:25,Pass,BCP21,ICT1
16A0066069,04/20/2024 04:25,Fail,BCP21,ICT2
16A0066070,04/20/2024 04:26,Fail,BCP21,ICT1
16A0066071,04/20/2024 04:27,Fail,BCP21,ICT2
16A0066072,04/20/2024 04:28,Pass,BCP21,ICT4
16A0066073,04/20/2024 04:29,Fail,BCP21,ICT3
16A0066074,04/20/2024 04:30,Fail,BCP21,ICT1
16A0066075,04/20/2024 04:30,Pass,BCP21,ICT3
16A0066076,04/20/2024 04:31,Fail,BCP21,ICT4
16A0066077,04/20/2024 04:32,Fail,BCP21,ICT3
16A0066078,04/20/2024 04:33,Pass,BCP21,ICT1
16A0066079,04/20/2024 04:34,Pass,BCP21,ICT4
16A0066080,04/20/2024 04:35,Fail,BCP21,ICT3
16A0066081,04/20/2024 04:35,Pass,BCP21,ICT4
16A0066082,04/20/2024 04:36,Fail,BCP21,ICT1
16A0066083,04/20/2024 04:37,Fail,BCP21,ICT3
16A0066084,04/20/2024 04:38,Pass,BCP21,ICT3
16A0066085,04/20/2024 04:39,Fail,BCP21,ICT4
16A0066086,04/20/2024 04:40,Fail,BCP21,ICT2
16A0066087,04/20/2024 04:40,Fail,BCP21,ICT3
16A0066088,04/20/2024 04:41,Fail,BCP21,ICT2
16A0066089,04/20/2024 04:42,Fail,BCP21,ICT2
16A0066090,04/20/2024 04:43,Fail,BCP21,ICT3
16A0066091,04/20/2024 04:44,Fail,BCP21,ICT1
16A0066092,04/20/2024 04:45,Pass,BCP21,ICT1
16A0066093,04/20/2024 04:45,Fail,BCP21,ICT2
16A0066094,04/20/2024 04:46,Fail,BCP21,ICT3
16A0066095,04/20/2024 04:47,Fail,BCP21,ICT2
16A0066096,04/20/2024 04:48,Fail,BCP21,ICT2
16A0066097,04/20/2024 04:49,Pass,BCP21,ICT3
16A0066098,04/20/2024 04:50,Pass,BCP21,ICT4
16A0066099,04/20/2024 04:50,Pass,BCP21,ICT1
16A0066100,04/20/2024 04:51,Fail,BCP21,ICT1
16A0066101,04/20/2024 04:52,Fail,BCP21,ICT2
16A0066102,04/20/2024 04:53,Pass,BCP21,ICT4
16A0066103,04/20/2024 04:54,Fail,BCP21,ICT3
16A0066104,04/20/2024 04:55,Pass,BCP21,ICT3
16A0066105,04/20/2024 04:55,Fail,BCP21,ICT2
16A0066106,04/20/2024 04:56,Fail,BCP21,ICT4
16A0066107,04/20/2024 04:57,Pass,BCP21,ICT3
16A0066108,04/20/2024 04:58,Fail,BCP21,ICT2
16A0066109,04/20/2024 04:59,Pass,BCP21,ICT4
16A0066110,04/20/2024 05:00,Pass,BCP21,ICT2
16A0066111,04/20/2024 05:00,Pass,BCP21,ICT1
16A0066112,04/20/2024 05:01,Fail,BCP21,ICT1
16A0066113,04/20/2024 05:02,Pass,BCP21,ICT2
16A0066114,04/20/2024 05:03,Fail,BCP21,ICT3
16A0066115,04/20/2024 05:04,Pass,BCP21,ICT1
16A0066116,04/20/2024 05:05,Fail,BCP21,ICT3
16A0066117,04/20/2024 05:05,Fail,BCP21,ICT2
16A0066118,04/20/2024 05:06,Fail,BCP21,ICT2
16A0066119,04/20/2024 05:07,Pass,BCP21,ICT3
16A0066120,04/20/2024 05:08,Pass,BCP21,ICT4
16A0066121,04/20/2024 05:09,Pass,BCP21,ICT4
16A0066122,04/20/2024 05:10,Fail,BCP21,ICT3
16A0066123,04/20/2024 05:10,Pass,BCP21,ICT1
16A0066124,04/20/2024 05:11,Pass,BCP21,ICT3
16A0066125,04/20/2024 05:12,Pass,BCP21,ICT4
16A0066126,04/20/2024 05:13,Fail,BCP21,ICT4
16A0066127,04/20/2024 05:14,Fail,BCP21,ICT3
16A0066128,04/20/2024 05:15,Pass,BCP21,ICT4
16A0066129,04/20/2024 05:15,Fail,BCP21,ICT4
16A0066130,04/20/2024 05:16,Pass,BCP21,ICT2
16A0066131,04/20/2024 05:17,Fail,BCP21,ICT3
16A0066132,04/20/2024 05:18,Fail,BCP21,ICT2
16A0066133,04/20/2024 05:19,Fail,BCP21,ICT4
16A0066134,04/20/2024 05:20,Fail,BCP21,ICT1
16A0066135,04/20/2024 05:20,Pass,BCP21,ICT1
16A0066136,04/20/2024 05:21,Fail,BCP21,ICT4
16A0066137,04/20/2024 05:22,Pass,BCP21,ICT2
16A0066138,04/20/2024 05:23,Pass,BCP21,ICT2
16A0066139,04/20/2024 05:24,Pass,BCP21,ICT2
16A0066140,04/20/2024 05:25,Pass,BCP21,ICT3
16A0066141,04/20/2024 05:25,Pass,BCP21,ICT1
16A0066142,04/20/2024 05:26,Fail,BCP21,ICT4
16A0066143,04/20/2024 05:27,Pass,BCP21,ICT3
16A0066144,04/20/2024 05:28,Fail,BCP21,ICT4
16A0066145,04/20/2024 05:29,Fail,BCP21,ICT3
16A0066146,04/20/2024 05:30,Pass,BCP21,ICT4
16A0066147,04/20/2024 05:30,Fail,BCP21,ICT4
16A0066148,04/20/2024 05:31,Pass,BCP21,ICT4
16A0066149,04/20/2024 05:32,Pass,BCP21,ICT3
16A0066150,04/20/2024 05:33,Pass,BCP21,ICT1
16A0066151,04/20/2024 05:34,Pass,BCP21,ICT3
16A0066152,04/20/2024 05:35,Fail,BCP21,ICT4
16A0066153,04/20/2024 05:35,Pass,BCP21,ICT2
16A0066154,04/20/2024 05:36,Pass,BCP21,ICT2
16A0066155,04/20/2024 05:37,Pass,BCP21,ICT2
16A0066156,04/20/2024 05:38,Pass,BCP21,ICT1
16A0066157,04/20/2024 05:39,Fail,BCP21,ICT2
16A0066158,04/20/2024 05:40,Pass,BCP21,ICT3
16A0066159,04/20/2024 05:40,Fail,BCP21,ICT3
16A0066160,04/20/2024 05:41,Fail,BCP21,ICT4
16A0066161,04/20/2024 05:42,Pass,BCP21,ICT4
16A0066162,04/20/2024 05:43,Pass,BCP21,ICT2
16A0066163,04/20/2024 05:44,Fail,BCP21,ICT1
16A0066164,04/20/2024 05:45,Fail,BCP21,ICT4
16A0066165,04/20/2024 05:45,Fail,BCP21,ICT2
16A0066166,04/20/2024 05:46,Pass,BCP21,ICT1
16A0066167,04/20/2024 05:47,Fail,BCP21,ICT4
16A0066168,04/20/2024 05:48,Pass,BCP21,ICT2
16A0066169,04/20/2024 05:49,Pass,BCP21,ICT3
16A0066170,04/20/2024 05:50,Fail,BCP21,ICT2
16A0066171,04/20/2024 05:50,Pass,BCP21,ICT4
16A0066172,04/20/2024 05:51,Pass,BCP21,ICT4
16A0066173,04/20/2024 05:52,Fail,BCP21,ICT4
16A0066174,04/20/2024 05:53,Fail,BCP21,ICT4
16A0066175,04/20/2024 05:54,Pass,BCP21,ICT4
16A0066176,04/20/2024 05:55,Pass,BCP21,ICT4
16A0066177,04/20/2024 05:55,Pass,BCP21,ICT4
16A0066178,04/20/2024 05:56,Pass,BCP21,ICT2
16A0066179,04/20/2024 05:57,Fail,BCP21,ICT2
16A0066180,04/20/2024 05:58,Fail,BCP21,ICT2
16A0066181,04/20/2024 05:59,Pass,BCP21,ICT4
16A0066182,04/20/2024 06:00,Fail,BCP21,ICT1
16A0066183,04/20/2024 06:00,Fail,BCP21,ICT2
16A0066184,04/20/2024 06:01,Fail,BCP21,ICT4
16A0066185,04/20/2024 06:02,Fail,BCP21,ICT4
16A0066186,04/20/2024 06:03,Fail,BCP21,ICT4
16A0066187,04/20/2024 06:04,Pass,BCP21,ICT2
16A0066188,04/20/2024 06:05,Pass,BCP21,ICT3
16A0066189,04/20/2024 06:05,Pass,BCP21,ICT2
16A0066190,04/20/2024 06:06,Fail,BCP21,ICT2
16A0066191,04/20/2024 06:07,Pass,BCP21,ICT1
16A0066192,04/20/2024 06:08,Pass,BCP21,ICT4
16A0066193,04/20/2024 06:09,Fail,BCP21,ICT3
16A0066194,04/20/2024 06:10,Pass,BCP21,ICT3
16A0066195,04/20/2024 06:10,Pass,BCP21,ICT1
16A0066196,04/20/2024 06:11,Pass,BCP21,ICT3
16A0066197,04/20/2024 06:12,Pass,BCP21,ICT2
16A0066198,04/20/2024 06:13,Fail,BCP21,ICT4
16A0066199,04/20/2024 06:14,Pass,BCP21,ICT1
